name,album,artist,release_date,length,popularity,key,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,time_signature,mode,playlist_id
Ehsaan Tera Hoga Mujh Par,Junglee (Original Motion Picture Soundtrack),Various Artists,2014-01-28,208986,11,4,0.38,0.985,0.38,0.389,0.000602,0.151,-7.241,0.0419,175.505,0.49,4,1,6mx7rVYF6ed2JTMegQ8SY0
Chahe Mujhe Koi Junglee Kahe,Junglee (Original Motion Picture Soundtrack),Various Artists,2014-01-28,213720,12,3,0.485,0.925,0.485,0.847,0.0,0.11,-6.312,0.0736,147.565,0.803,4,1,6mx7rVYF6ed2JTMegQ8SY0
Mera Saaya Saath Hoga,Mera Saaya (Original Motion Picture Soundtrack),Madan Mohan,1966-12-01,363200,12,2,0.557,0.982,0.557,0.422,0.1,0.229,-10.23,0.0285,95.235,0.583,4,1,6mx7rVYF6ed2JTMegQ8SY0
Jhoomka Gira Re,Mera Saaya (Original Motion Picture Soundtrack),Madan Mohan,1966-12-01,296825,13,8,0.598,0.901,0.598,0.787,0.000191,0.812,-4.92,0.16,93.159,0.964,4,1,6mx7rVYF6ed2JTMegQ8SY0
Lag Ja Gale Se Phir,Woh Kaun Thi? (Original Motion Picture Soundtrack),Madan Mohan,2013-11-01,257613,37,8,0.312,0.796,0.312,0.452,0.000874,0.286,-11.872,0.0391,132.485,0.391,3,1,6mx7rVYF6ed2JTMegQ8SY0
Naina Barse Rimjhim Rimjhim,Woh Kaun Thi? (Original Motion Picture Soundtrack),Madan Mohan,2013-11-01,385131,17,6,0.437,0.985,0.437,0.393,0.523,0.16,-8.124,0.0383,129.373,0.256,4,1,6mx7rVYF6ed2JTMegQ8SY0
Jo Hamne Daastaan Apnee,Woh Kaun Thi? (Original Motion Picture Soundtrack),Madan Mohan,2013-11-01,196350,12,8,0.475,0.981,0.475,0.304,0.0487,0.101,-10.555,0.037,99.474,0.513,4,1,6mx7rVYF6ed2JTMegQ8SY0
Aawaz Deke Humen Tum Bulao,Professor (Original Motion Picture Soundtrack),Shankar Jaikishan,1962-12-30,194546,15,3,0.301,0.985,0.301,0.326,0.186,0.139,-13.066,0.0405,158.223,0.556,5,0,6mx7rVYF6ed2JTMegQ8SY0
Aye Gulbadan,Professor (Original Motion Picture Soundtrack),Shankar Jaikishan,1962-12-30,200320,23,8,0.631,0.817,0.631,0.403,0.0,0.427,-12.542,0.0376,122.963,0.794,4,0,6mx7rVYF6ed2JTMegQ8SY0
Pardesiyon Se Na Ankhiyan Milana - Male Vocals,Jab Jab Phool Khile (Original Motion Picture Soundtrack),Kalyanji-Anandji,1965-10-22,196560,12,7,0.463,0.953,0.463,0.344,0.0592,0.0931,-14.825,0.043,141.575,0.641,4,0,6mx7rVYF6ed2JTMegQ8SY0
